Market,DMA Name,per_capita_income
762,Missoula,31772.590699553653
764,Rapid City,30481.709501149708
765,El Paso (Las Cruces),25229.546397866987
766,Helena,31069.222259353068
767,Casper-Riverton,32407.462146567836
770,Salt Lake City,31093.58550366302
771,Yuma-El Centro,21002.87415384537
773,Grand Junction-Montrose,29833.673113367
789,Tucson (Sierra Vista),30114.014832704917
790,Albuquerque-Santa Fe,28386.239330282355
798,Glendive,30596.53595033046
801,Eugene,30935.3862619099
802,Eureka,28700.962776187018
803,Los Angeles,38979.36408258255
807,San Francisco-Oak-San Jose,56486.166248043555
810,Yakima-Pasco-Rchlnd-Knnwck,28317.741206006438
811,Reno,35638.19860582428
813,Medford-Klamath Falls,29876.193617472672
819,Seattle-Tacoma,44532.17515587908
820,"Portland, Or",37168.78016076044
821,"Bend, Or",37615.0
825,San Diego,39737.0
828,Monterey-Salinas,36585.3067511274
839,Las Vegas,31519.61848683757
855,Santabarbra-Sanmar-Sanluob,34981.36159702989
862,Sacramnto-Stkton-Modesto,33308.82344590705
866,Fresno-Visalia,24283.52791895735
868,Chico-Redding,30035.20889855707
881,Spokane,29902.09896637609
