,DMA Code,DMA Name,median
58,558,Lima,730.0309674093653
59,559,Bluefield-Beckley-Oak Hill,723.857527832045
60,560,Raleigh-Durham (Fayetvlle),996.6052390073415
61,561,Jacksonville,1051.0134095241879
62,563,Grand Rapids-Kalmzoo-B.Crk,859.5131856182759
63,564,Charleston-Huntington,686.1204386875479
64,565,Elmira (Corning),772.3904435744167
65,566,Harrisburg-Lncstr-Leb-York,967.3372310239524
66,567,Greenvll-Spart-Ashevll-And,909.0421637202732
67,569,Harrisonburg,902.9123153911876
68,570,Myrtle Beach-Florence,809.2353828293272
69,571,Ft. Myers-Naples,1280.4497066959912
70,573,Roanoke-Lynchburg,776.804092629799
71,574,Johnstown-Altoona-St Colge,748.747182036274
72,575,Chattanooga,938.7242581378179
73,576,Salisbury,1018.2313649913907
74,577,Wilkes Barre-Scranton-Hztn,952.2597241631729
75,581,Terre Haute,696.0439333336893
76,582,"Lafayette, In",873.1558141952603
77,583,Alpena,596.8683647976924
78,584,Charlottesville,1207.7923318790065
79,588,South Bend-Elkhart,827.112436719628
80,592,Gainesville,932.5832202261756
81,596,Zanesville,702.0
82,597,Parkersburg,689.9023747048882
83,598,Clarksburg-Weston,689.3533533159884
84,600,Corpus Christi,-433087.0367840515
85,602,Chicago,1100.6181626489215
86,603,Joplin-Pittsburg,694.5573535662002
87,604,Columbia-Jefferson City,740.4662964715258
88,605,Topeka,805.834952232914
89,606,Dothan,748.6847651722735
90,609,St. Louis,856.5867400717667
91,610,Rockford,799.0018216575799
92,611,Rochestr-Mason City-Austin,835.3071919969957
93,612,Shreveport,749.7393412047239
94,613,Minneapolis-St. Paul,1020.6283156484277
95,616,Kansas City,-520665.0699935442
96,617,Milwaukee,918.7951315658026
97,618,Houston,1144.5724726214269
98,619,"Springfield, Mo",-819236.8305317602
99,622,New Orleans,962.428941525621
100,623,Dallas-Ft. Worth,1165.138754092556
101,624,Sioux City,784.1740633431662
102,625,Waco-Temple-Bryan,1093.5418643949934
103,626,Victoria,961.0
104,627,Wichita Falls & Lawton,770.6845197912012
105,628,Monroe-El Dorado,682.9378385277569
106,630,Birmingham (Ann And Tusc),808.7712557539091
107,631,Ottumwa-Kirksville,674.203839989794
108,632,Paducah-Cape Girard-Harsbg,711.0260744224715
109,633,Odessa-Midland,-1375775.329989127
110,634,Amarillo,832.7120448848036
111,635,Austin,1289.1038892139352
112,636,Harlingen-Wslco-Brnsvl-Mca,741.3406715602791
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,787.7566863639565
114,638,St. Joseph,725.6557124886348
115,639,"Jackson, Tn",740.576814932066
116,640,Memphis,776.1632984396779
117,641,San Antonio,-28801.282963055797
118,642,"Lafayette, La",756.0431082099334
119,643,Lake Charles,816.8430860033727
120,644,"Alexandria, La",808.300674240706
121,647,Greenwood-Greenville,627.9276742439757
122,648,Champaign&Sprngfld-Decatur,758.5817741281321
123,649,Evansville,720.1357956178779
124,650,Oklahoma City,852.874746873281
125,651,Lubbock,856.9302561490631
126,652,Omaha,903.0054021128803
127,656,Panama City,949.738919353771
128,657,Sherman-Ada,780.7301752534687
129,658,Green Bay-Appleton,866.3467724352187
130,659,Nashville,967.7886864980889
131,661,San Angelo,-31729.393805027077
132,662,Abilene-Sweetwater,814.526956044447
133,669,Madison,970.3976318308119
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,797.3783783172812
135,671,Tulsa,783.7427743483493
136,673,Columbus-Tupelo-West Point,696.2655675941786
137,675,Peoria-Bloomington,887.6561426732147
138,676,Duluth-Superior,901.7442632658673
139,678,Wichita-Hutchinson Plus,838.9790112162945
140,679,Des Moines-Ames,842.9541594616978
141,682,Davenport-R.Island-Moline,732.5682174084119
142,686,Mobile-Pensacola (Ft Walt),978.7129045018745
143,687,Bismarck-Mnt-Dcknsn(Wlstn),-769117.2351658336
144,691,Huntsville-Decatur (Flor),816.7685449661114
145,692,Beaumont-Port Arthur,838.8594493724497
146,693,Little Rock-Pine Bluff,756.1634073504347
147,698,Montgomery-Selma,800.4660583918193
148,702,La Crosse-Eau Claire,783.9780073029661
149,705,Wausau-Rhinelander,737.7742943688415
150,709,Tyler-Longview(Lfkn&Ncgd),850.3551354293985
151,710,Hattiesburg-Laurel,739.2478930514243
152,711,Meridian,669.4146527687443
153,716,Baton Rouge,901.2340237699017
154,717,Quincy-Hannibal-Keokuk,1082.4230557045705
155,718,"Jackson, Ms",821.8354832986859
156,722,Lincoln & Hastings-Krny,774.6597792931287
157,724,Fargo,757.3154045670757
158,725,Sioux Falls(Mitchell),-547417.5227941409
159,734,Jonesboro,711.9264400634489
160,736,Bowling Green,738.8258521783234
161,737,Mankato,881.3381974716303
162,740,North Platte,-218502.6096610299
163,743,Anchorage,1214.0773651917782
164,744,Honolulu,1653.1174538861314
165,745,Fairbanks,1275.7487045156881
166,746,Biloxi-Gulfport,895.3912823318987
167,747,Juneau,1255.305188778107
168,749,Laredo,834.3472828530906
169,751,Denver,-561122.9790809597
170,752,Colorado Springs-Pueblo,1118.2209888103052
171,753,Phoenix (Prescott),1134.9939139697128
172,754,Butte-Bozeman,952.1625620629598
173,755,Great Falls,682.0616441209553
174,756,Billings,851.6910571074683
175,757,Boise,973.3541620693152
176,758,Idaho Fals-Pocatllo(Jcksn),796.347574584148
177,759,Cheyenne-Scottsbluff,871.7335278909433
178,760,Twin Falls,801.2681214603075
179,762,Missoula,849.9696432718586
180,764,Rapid City,816.5008376702737
181,765,El Paso (Las Cruces),871.4346449755607
182,766,Helena,763.2931924582044
183,767,Casper-Riverton,803.8018042066213
184,770,Salt Lake City,-116953.76342203692
185,771,Yuma-El Centro,849.1597458415179
186,773,Grand Junction-Montrose,966.681380030936
187,789,Tucson (Sierra Vista),907.1031405384347
188,790,Albuquerque-Santa Fe,868.520086311792
189,798,Glendive,748.9054676547166
190,801,Eugene,1004.8004415415452
191,802,Eureka,992.5322449677337
192,803,Los Angeles,1637.192820938484
193,807,San Francisco-Oak-San Jose,2079.4821786226485
194,810,Yakima-Pasco-Rchlnd-Knnwck,923.5534098003022
195,811,Reno,1093.7170809753218
196,813,Medford-Klamath Falls,959.1835300423195
197,819,Seattle-Tacoma,1457.916484790003
198,820,"Portland, Or",1234.8683931633477
199,821,"Bend, Or",1306.0
200,825,San Diego,1732.0
201,828,Monterey-Salinas,1681.095672233989
202,839,Las Vegas,1172.5403914006097
203,855,Santabarbra-Sanmar-Sanluob,1497.9294803403702
204,862,Sacramnto-Stkton-Modesto,1313.3351244458408
205,866,Fresno-Visalia,1022.7758589267667
206,868,Chico-Redding,1041.1652290306272
207,881,Spokane,884.2904906600248
